m/z (positive mode),RT,R1a_0.5h,R1b_0.5h,R1c_0.5h,R2a_0.5h,R2b_0.5h,R2c_0.5h,R3a_0.5h,R3b_0.5h,R3c_0.5h,R1a_4h,R1b_4h,R1c_4h,R2a_4h,R2b_4h,R2c_4h,R3a_4h,R3b_4h,R3c_4h,R1a_24h,R1b_24h,R1c_24h,R2a_24h,R2b_24h,R2c_24h,R3a_24h,R3b_24h,R3c_24h,R1a_48h,R1b_48h,R1c_48h,R2a_48h,R2b_48h,R2c_48h,R3a_48h,R3b_48h,R3c_48h,A1a_0.5h,A1b_0.5h,A1c_0.5h,A2a_0.5h,A2b_0.5h,A2c_0.5h,A3a_0.5h,A3b_0.5h,A3c_0.5h,A1a_4h,A1b_4h,A1c_4h,A2a_4h,A2b_4h,A2c_4h,A3a_4h,A3b_4h,A3c_4h,A1a_24h,A1b_24h,A1c_24h,A2a_24h,A2b_24h,A2c_24h,A3a_24h,A3b_24h,A3c_24h,A1a_48h,A1b_48h,A1c_48h,A2a_48h,A2b_48h,A2c_48h,A3a_48h,A3b_48h,A3c_48h
571.38553,473.57,1498.745675,1743.000837,1565.432338,247.4285714,2280.080078,1611.660854,2285.028599,2469.060268,2527.297991,2429.354736,2002.62561,664,0,395,315,3691.294922,3078.088135,2371.27832,260,0,311,0,0,149,0,0,0,450,346,442,203,242,0,172,0,0,0,0,0,0,0,0,114.2857143,0,0,111,107,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573.4094,457.93,153.1428571,136.5714286,124,0,129.1428571,180.5714286,132.5714286,0,0,8159.700195,794,5955.130371,0,0,0,201,307,0,14852.54102,14377.91309,17293.76953,206,0,173,0,0,185,349,289,354,137,0,0,368,307,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,113,0,0,0,0,0,0,85,0,91,0,153,0,0,0,0,71,0
574.22101,242.34,0,0,0,0,167.4285714,0,0,0,0,0,0,0,0,0,0,0,0,0,241,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.137835,364.5714286,1109.774554,979.155971,314.2857143,263.4285714,1211.397461,1032.820382,1025.001744,314,470,0,459,588,1598.397827,593,1847.792603,789,190,0,301,100,0,0,318,398,420,0,407,357,0,0,385,237,0,227
574.224,383.55,4274.62779,3959.735491,3980.55385,3074.436942,3954.047991,3795.672991,4991.406808,5395.214286,5980.924107,7546.039551,7984.249512,8354.751953,8374.1875,2707,8256.362305,11118.18359,4661,10757.02148,2013.145142,1901.826782,2372.539307,572,489,0,374,0,0,5389.408691,4756.136719,5746.041992,1770.269531,2915.940918,2282.451416,4009.448242,3792.937988,3895.499268,0,201.7142857,0,0,0,84,0,179.4285714,341.7142857,16938.69531,15469.44238,19516.01953,22870.90625,19781.10938,17388.9082,23436.42969,23436.01172,22252.89844,3089.890381,2607.920654,3434.307373,132,0,156,4619.795898,5609.365723,5484.776367,0,0,0,448,496,429,0,264,317
574.28142,20.78,0,0,0,276,0,0,0,0,215.4285714,0,0,379,0,0,0,0,422,414,0,241,363,0,241,0,0,177,139,0,0,0,0,284,219,484,468,0,388,398.2857143,388.5714286,330.8571429,318.2857143,354.8571429,349.7142857,422.2857143,432,637,595,584,642,621,735,544,633,673,302,462,447,217,0,0,548,623,580,490,543,528,466,456,521,452,377,449
574.28253,22.95,0,0,0,276,0,0,0,0,215.4285714,0,0,379,0,0,0,0,313,414,0,241,363,0,241,0,0,177,139,0,0,0,0,284,219,484,468,0,310.2857143,398.2857143,388.5714286,330.8571429,301.7142857,354.8571429,347.4285714,422.2857143,432,637,595,584,677,722,586,599,614,572,302,462,447,217,0,0,548,506,455,380,543,528,466,385,521,454,167,449
575.21409,1083.72,2196,2328,2437.142857,0,0,1294.857143,2553.114397,4061.567522,2647.446429,2649,2424,2704,0,0,0,2809,3025,3181,3652,3216,3249,4631.218262,4743.267578,5675.749023,2544,2492,0,20326.31055,4628.193848,4426.340332,33361,37089,35504,3916,3610,3844,0,0,1569.142857,0,0,0,1216.571429,4621.896484,1325.142857,3383,3319,3442,3289,0,2942,6864.290527,2015,5707.775391,0,0,1476,0,0,0,0,0,0,3949,4558,3995,19398,20193,19494,45524,46360,48272
575.31496,237.03,161.1428571,146.8571429,0,232.5714286,2396.556083,2304.206752,249.1428571,0,260,244,0,0,0,382,300,425,381,347,0,0,345,416,288,357,0,247,0,238,0,183,337,265,277,245,368,268,3818.325056,2968.095145,4548.373047,1953.732282,2813.018136,2451.640625,4449.279018,3943.070592,573.1428571,6303.97168,5120.720703,5011.893555,3798.911133,3643.903076,4604.404785,2758.052002,5665.620117,4697.835938,294,314,0,245,144,218,422,495,466,422,3770.602295,3017.823975,5310.560059,3923.815918,4141.431152,408,490,361
575.37048,841.04,168,210.8571429,236.5714286,182.2857143,235.4285714,873.5338309,279.4285714,1081.184501,1395.727539,4127.286133,3666.585693,4430.714355,3521.487305,3398.703613,2749.622803,497,464,476,1722.251465,390,2229.185303,360,400,376,448,326,308,2264.762939,1912.119263,2405.450195,355,1491.469971,303,3505.777588,2956.114502,3093.767822,1287.426758,265.1428571,1411.094587,1792.153878,2052.108817,1999.071708,3171.650391,2774.467355,2627.918527,439,401,445,492,1940.080444,459,3124.211914,3662.764404,3744.463623,1503.817505,417,2095.587891,441,367,461,1896.498901,4284.888184,2322.24585,416,433,416,366,420,337,2784.259766,2361.63501,3303.355713
577.33124,251.29,10333.79129,10162.30804,10814.38393,18746.85268,21641.44866,20753.86161,23535.17857,23526.08259,24998.73438,22240.71484,21939.07422,22218.80273,19915.76367,20604.35547,21175.6543,30061.27734,31928.41602,26979.75781,20501.51563,21936.62891,21458.91211,13083.29395,12316.30078,12542.09668,7109.539063,7103.394531,7639.782227,18374.35938,17841.13281,16979.50781,8848.981445,10463.22363,8139.272949,20083.24609,17598.85938,17333.75,97687.75893,101785.9196,115046.1071,67189.71429,67124.01786,64468.19196,130680.4821,114592.1518,127916.6875,155968.9688,146556.5781,165582.9844,140146.6875,126392.75,121778.875,134610.0313,136409.2344,139318.6406,55406.64844,56490.31641,62494.53906,12624.07715,12826.67285,14329.20117,92426.42969,104333.5078,92696.72656,67681.75,77547.78125,77316.25781,70774.24219,72412.40625,71925.29688,40551.81641,37178.42578,44166.45313
