"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.112",15.3162183448411,22.3897893676607,3.05908048204402,7.31912399790812,NA,NA
"MSTRG.98",1588.91795265271,-0.657204343257617,0.608087947595588,-1.0807718617944,0.279798607976144,0.553346344834072
"MSTRG.99",154.723667657421,-0.344196454602006,1.56281511050035,-0.220241314720721,0.82568322197542,0.930912511936074
"MSTRG.100",303.56640372158,-0.198414041083826,0.948432103422337,-0.209202156240669,0.834290429231415,0.935011466973214
"MSTRG.102",13493.2165938656,-1.19429848731981,0.599567894480741,-1.9919320202329,0.0463785171313878,0.189330959612633
"MSTRG.101",15.1198846531041,0.269347489155541,2.99660067257005,0.0898843451585207,NA,NA
"MSTRG.103",649.601877053578,1.32941115268833,0.866011824555762,1.53509584395141,0.124760287029597,0.348311834822077
"MSTRG.104",73.1049670692501,-0.647762852369136,1.27860148839633,-0.506618253027051,0.612422698514946,0.814716973602697
"MSTRG.105",740.274035432148,1.80745657431692,0.689710148664443,2.62060312990448,0.00877743772418708,0.0598759652222554
"MSTRG.106",28.1551932872454,0.347414524036767,1.57572268933484,0.220479483089389,0.825497749378184,0.930912511936074
"MSTRG.107",361.564262996114,-4.5343610086659,0.772803592552798,-5.8674170932456,4.42636208864376e-09,3.05021406683308e-07
"MSTRG.108",142.643490538495,-2.15372180194122,1.12001160852986,-1.92294596371927,0.0544868364696367,0.21090969192485
"MSTRG.111",400.000104643385,-4.15050108531658,1.02328464355154,-4.05605723829816,4.99080339443054e-05,0.00094932504897697
"MSTRG.110",113.173348348848,-0.436079508873478,1.43129777108741,-0.304674203846606,0.760614298424095,0.894456299434343
"MSTRG.122",70.191506344891,1.5923765362212,1.63970284393497,0.971137265579046,0.331479928747167,0.605445402391562
"MSTRG.123",30.9581705629529,4.470789234283,1.59140917416744,2.80932729737587,0.00496451471241368,0.039482816385941
"MSTRG.114",20.2887941415201,-4.86757650645335,3.0118458348274,-1.6161439772804,0.106063187931885,0.315965613958097
"MSTRG.117",3.89127084445146,1.76697016951907,3.00256488319312,0.588486923100215,NA,NA
"MSTRG.121",0.557467338269597,2.11406974130903,3.0680935758169,0.689049955311791,0.490791831375499,NA
"MSTRG.113",653.152069309,-0.483809907885204,0.728433129583849,-0.664178890602632,0.506575822433762,0.745292069108634
"MSTRG.115",609.704683165209,-1.74405931813232,0.934718604945137,-1.86586562940478,0.0620601673902987,0.229273966718317
"MSTRG.116",43.5649495661399,1.18264842011877,1.55892343835596,0.758631495954666,0.448073026354091,0.699230012629859
"MSTRG.118",835.223089054707,-0.801271066048455,0.821510416987912,-0.975363244919443,0.329380108784695,0.603358779736657
"MSTRG.119",718.541822852863,3.35671733950014,0.790542332512584,4.24609436009767,2.17529049803103e-05,0.000476823677168403
"MSTRG.120",105.083372959751,-0.457204693902689,1.4179897587642,-0.322431590973653,NA,NA
"MSTRG.124",796.793445867651,-0.244291437643778,0.894291813901874,-0.273167476036612,0.784724479861967,0.907450954344777
"MSTRG.125",713.700382041588,0.644851724649977,0.913386111421078,0.706001237140221,0.480187368100082,0.723582065221388
"MSTRG.137",48.3786153933839,0.668548970335488,2.55538212109909,0.261623874103001,0.793611436068161,0.912049252904858
"MSTRG.127",12.3318081526478,22.1055162014953,3.0592730959807,7.22574137972113,NA,NA
"MSTRG.130",5.68727225304762,3.40809884253592,2.9822183227708,1.14280662033135,NA,NA
"MSTRG.131",0.684378840652967,-2.5453791840077,3.06745968835888,-0.829800369885057,0.406651661670569,NA
