MSTRG.590	MSTRG.590.1
MSTRG.591	MSTRG.591.1
MSTRG.593	MSTRG.593.1
MSTRG.592	MSTRG.592.1
MSTRG.594	MSTRG.594.1
MSTRG.595	MSTRG.595.1
MSTRG.596	MSTRG.596.1
MSTRG.597	MSTRG.597.1
MSTRG.598	MSTRG.598.1
MSTRG.599	MSTRG.599.1
MSTRG.600	MSTRG.600.1
MSTRG.601	MSTRG.601.1
MSTRG.602	MSTRG.602.1
MSTRG.603	MSTRG.603.1
MSTRG.604	MSTRG.604.1
MSTRG.605	MSTRG.605.1
MSTRG.606	MSTRG.606.1
MSTRG.607	MSTRG.607.1
MSTRG.608	MSTRG.608.1
MSTRG.609	MSTRG.609.1
MSTRG.610	MSTRG.610.1
MSTRG.610	MSTRG.610.2
MSTRG.612	MSTRG.612.1
MSTRG.613	MSTRG.613.1
MSTRG.611	MSTRG.611.1
MSTRG.614	MSTRG.614.1
MSTRG.615	MSTRG.615.1
MSTRG.616	MSTRG.616.1
MSTRG.618	MSTRG.618.1
MSTRG.619	MSTRG.619.1
MSTRG.620	MSTRG.620.1
MSTRG.621	MSTRG.621.1
MSTRG.622	MSTRG.622.1
MSTRG.623	MSTRG.623.1
MSTRG.624	MSTRG.624.1
MSTRG.626	MSTRG.626.1
MSTRG.626	MSTRG.626.2
MSTRG.626	MSTRG.626.3
MSTRG.617	MSTRG.617.1
MSTRG.617	MSTRG.617.2
MSTRG.625	MSTRG.625.1
MSTRG.627	MSTRG.627.1
MSTRG.628	MSTRG.628.1
MSTRG.629	MSTRG.629.1
MSTRG.630	MSTRG.630.1
MSTRG.631	MSTRG.631.1
MSTRG.632	MSTRG.632.1
MSTRG.635	MSTRG.635.1
MSTRG.633	MSTRG.633.1
MSTRG.634	MSTRG.634.1
MSTRG.636	MSTRG.636.1
MSTRG.637	MSTRG.637.1
MSTRG.638	MSTRG.638.1
MSTRG.639	MSTRG.639.1
MSTRG.640	MSTRG.640.1
MSTRG.641	MSTRG.641.1
MSTRG.642	MSTRG.642.1
MSTRG.643	MSTRG.643.1
MSTRG.644	MSTRG.644.1
MSTRG.645	MSTRG.645.1
MSTRG.646	MSTRG.646.1
MSTRG.647	MSTRG.647.1
MSTRG.648	MSTRG.648.1
MSTRG.649	MSTRG.649.1
MSTRG.650	MSTRG.650.1
MSTRG.651	MSTRG.651.1
MSTRG.652	MSTRG.652.1
MSTRG.653	MSTRG.653.1
MSTRG.654	MSTRG.654.1
MSTRG.655	MSTRG.655.1
MSTRG.656	MSTRG.656.1
MSTRG.657	MSTRG.657.1
MSTRG.658	MSTRG.658.1
MSTRG.659	MSTRG.659.1
MSTRG.660	MSTRG.660.1
MSTRG.661	MSTRG.661.1
MSTRG.662	MSTRG.662.1
MSTRG.663	MSTRG.663.1
MSTRG.664	MSTRG.664.1
MSTRG.665	MSTRG.665.1
MSTRG.666	MSTRG.666.1
MSTRG.667	MSTRG.667.1
MSTRG.668	MSTRG.668.1
MSTRG.669	MSTRG.669.1
MSTRG.670	MSTRG.670.1
MSTRG.671	MSTRG.671.1
MSTRG.672	MSTRG.672.1
MSTRG.673	MSTRG.673.1
MSTRG.674	MSTRG.674.1
MSTRG.675	MSTRG.675.1
MSTRG.676	MSTRG.676.1
MSTRG.677	MSTRG.677.1
MSTRG.678	MSTRG.678.1
MSTRG.679	MSTRG.679.1
MSTRG.680	MSTRG.680.1
MSTRG.681	MSTRG.681.1
MSTRG.682	MSTRG.682.1
MSTRG.683	MSTRG.683.1
MSTRG.684	MSTRG.684.1
MSTRG.685	MSTRG.685.1
MSTRG.686	MSTRG.686.1
MSTRG.687	MSTRG.687.1
MSTRG.688	MSTRG.688.1
MSTRG.689	MSTRG.689.1
MSTRG.690	MSTRG.690.1
MSTRG.691	MSTRG.691.1
MSTRG.693	MSTRG.693.1
MSTRG.692	MSTRG.692.1
MSTRG.694	MSTRG.694.1
MSTRG.695	MSTRG.695.1
MSTRG.696	MSTRG.696.1
MSTRG.697	MSTRG.697.1
MSTRG.698	MSTRG.698.1
MSTRG.699	MSTRG.699.1
MSTRG.700	MSTRG.700.1
MSTRG.701	MSTRG.701.1
MSTRG.702	MSTRG.702.1
MSTRG.703	MSTRG.703.1
MSTRG.704	MSTRG.704.1
MSTRG.705	MSTRG.705.1
MSTRG.706	MSTRG.706.1
MSTRG.707	MSTRG.707.1
MSTRG.708	MSTRG.708.1
MSTRG.709	MSTRG.709.1
MSTRG.710	MSTRG.710.1
MSTRG.711	MSTRG.711.1
MSTRG.712	MSTRG.712.1
MSTRG.713	MSTRG.713.1
MSTRG.714	MSTRG.714.1
MSTRG.715	MSTRG.715.1
MSTRG.716	MSTRG.716.1
MSTRG.717	MSTRG.717.1
MSTRG.718	MSTRG.718.1
MSTRG.719	MSTRG.719.1
MSTRG.720	MSTRG.720.1
MSTRG.721	MSTRG.721.1
MSTRG.722	MSTRG.722.1
MSTRG.723	MSTRG.723.1
MSTRG.724	MSTRG.724.1
MSTRG.725	MSTRG.725.1
MSTRG.726	MSTRG.726.1
MSTRG.727	MSTRG.727.1
MSTRG.728	MSTRG.728.1
MSTRG.729	MSTRG.729.1
MSTRG.730	MSTRG.730.1
MSTRG.731	MSTRG.731.1
MSTRG.732	MSTRG.732.1
MSTRG.733	MSTRG.733.1
MSTRG.734	MSTRG.734.1
MSTRG.735	MSTRG.735.1
MSTRG.736	MSTRG.736.1
MSTRG.737	MSTRG.737.1
MSTRG.738	MSTRG.738.1
MSTRG.739	MSTRG.739.1
MSTRG.740	MSTRG.740.1
MSTRG.741	MSTRG.741.1
MSTRG.742	MSTRG.742.1
MSTRG.743	MSTRG.743.1
MSTRG.744	MSTRG.744.1
MSTRG.745	MSTRG.745.1
MSTRG.746	MSTRG.746.1
MSTRG.747	MSTRG.747.1
MSTRG.748	MSTRG.748.1
MSTRG.749	MSTRG.749.1
MSTRG.750	MSTRG.750.1
MSTRG.751	MSTRG.751.1
MSTRG.752	MSTRG.752.1
MSTRG.753	MSTRG.753.1
MSTRG.754	MSTRG.754.1
MSTRG.755	MSTRG.755.1
MSTRG.756	MSTRG.756.1
MSTRG.757	MSTRG.757.1
MSTRG.758	MSTRG.758.1
MSTRG.759	MSTRG.759.1
MSTRG.760	MSTRG.760.1
MSTRG.761	MSTRG.761.1
MSTRG.762	MSTRG.762.1
MSTRG.763	MSTRG.763.1
MSTRG.764	MSTRG.764.1
MSTRG.765	MSTRG.765.1
MSTRG.766	MSTRG.766.1
